domain,company,reason
papaya.co.il,Papaya,existing client
shlomitofir.com,Shlomit Ofir,existing client
shlomitofir.co.il,Shlomit Ofir,existing client
shanijacobi.co.il,Shani Jacobi,existing client
shanijacobi.com,Shani Jacobi,existing client
modibodi.co.il,Modibodi,existing client
ku-mi.com,Ku-Mi,existing client
shoez.co.il,Shoez,existing client
thescentreserve.com,The Scent Reserve / Outlier Group,existing client
foldreformer.com,Fold,existing client
sherajewelry.com,Shera Jewelry,existing client
ecolove.co.il,Ecolove,existing client
